"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"12";"2020-01-01";"118.31.112";"piutang spp smp koper";"003F/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Rena Natania Hetharia";"0.00";"315000.00";"415.17.111";"u.adm smp koper"
"13";"2020-01-01";"118.31.112";"piutang spp smp koper";"003G/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Hans Kurniawan Witantra";"0.00";"300000.00";"415.17.111";"u.adm smp koper"
"14";"2020-01-01";"118.31.112";"piutang spp smp koper";"003H/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Beatrice Callista Prase Tjia";"0.00";"250000.00";"415.17.111";"u.adm smp koper"
"15";"2020-01-01";"118.31.112";"piutang spp smp koper";"003I/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Crist Evan Lamhot Turnip";"0.00";"60000.00";"415.17.111";"u.adm smp koper"
"16";"2020-01-01";"415.17.111";"u.adm smp koper";"003J/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Nita Hartadinata";"0.00";"5000.00";"119.51.117";"piutang ups smp koper"
"17";"2020-01-01";"415.17.111";"u.adm smp koper";"003K/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Sharon Aura Putri Winarta";"105000.00";"0.00";"118.31.112";"piutang spp smp koper"
"18";"2020-01-01";"119.51.117";"piutang ups smp koper";"003L/ADJ-01/20";"Penyesuaian pembayaran ke pos penerimaan SPP, UPS dan uang admin SMP Koper TA 19-20 melalui bank Danamon - Sharon Aura Putri Winarta";"685000.00";"0.00";"118.31.112";"piutang spp smp koper"
"19";"2020-01-01";"120.11.111";"piutang lain-lain";"004/ADJ-01/20";"PPh 21 bukan pegawai bulan Dec 2019";"0.00";"37050.00";"217.11.111";"hutang pph21"
"20";"2020-01-01";"541.12.111";"Bunga deposito";"005/ADJ-01/20";"Penyesuaian bunga bank deposito pensiun BTPN - July - Dec 2019";"0.00";"5472539.00";"216.11.111";"titipan uang pensiun"
"21";"2020-01-01";"219.31.111";"Uang Titipan Beasiswa";"006/ADJ-01/20";"Reklasifikasi titipan usaha dana Koper bulan Dec 2019 yang masuk ke titipan beasiswa";"0.00";"360000.00";"219.21.111";"hutang lain2"
"22";"2020-01-01";"219.31.111";"Uang Titipan Beasiswa";"007/ADJ-01/20";"Penyesuaian biaya admin bank titipan beasiswa tahun 2019";"0.00";"425000.00";"541.11.111";"Bunga bank"
"23";"2020-01-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008A/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - konsumsi";"0.00";"6295000.00";"231.11.111";"Biaya yang masih harus dibayar"
"24";"2020-01-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008B/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - banner";"0.00";"539000.00";"231.11.111";"Biaya yang masih harus dibayar"
"25";"2020-01-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008C/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - souvenir";"0.00";"10131000.00";"231.11.111";"Biaya yang masih harus dibayar"
"26";"2020-01-01";"681.19.111";"Kebaktian/rapat/seminar umum";"008D/ADJ-01/20";"Akrual biaya kebaktian Natal staff, guru, dan karyawan tahun 2019 - lainnya";"0.00";"48000.00";"231.11.111";"Biaya yang masih harus dibayar"
"27";"2020-01-01";"851.15.112";"Perjln dinas sd tki";"009/001/ADJ-01/20";"Akrual biaya Dec 2019 - KB04167 - Tiket Ibu Agustiati Handayani ( pp ) Rp. 289.000, Uang perjalanan dinas 4 hari @ Rp. 75.000 dalam pelatihan Tim Kurikulum i-learning SD ; beban SD TKI ( 3-6 /01/20 )";"0.00";"196000.00";"231.11.111";"Biaya yang masih harus dibayar"
"28";"2020-01-01";"622.11.121";"perlengk.bang sd ciateul";"009/002/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - Duplikat 3bh kunci ruang rapat";"0.00";"30000.00";"231.11.111";"Biaya yang masih harus dibayar"
"29";"2020-01-01";"712.19.111";"Biaya pemel. kendaraan umum";"009/003/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - Biaya perpanjangan STNK Supra Fit D 2591 DB";"0.00";"65000.00";"231.11.111";"Biaya yang masih harus dibayar"
"30";"2020-01-01";"712.19.111";"Biaya pemel. kendaraan umum";"009/004/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - Biaya perpanjangan STNK Velox D 1415 ADT";"0.00";"930500.00";"231.11.111";"Biaya yang masih harus dibayar"
"31";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/005/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - Biaya parkir 1x";"0.00";"1500.00";"231.11.111";"Biaya yang masih harus dibayar"
"32";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/006/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - 2,61 Liter pertalite Revo D 4849 ZZ";"0.00";"20000.00";"231.11.111";"Biaya yang masih harus dibayar"
"33";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/007/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - 25,24 Liter dexlite L300 D 7330 AN";"0.00";"257500.00";"231.11.111";"Biaya yang masih harus dibayar"
"34";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/008/ADJ-01/20";"Akrual biaya Dec 2019 - KB04160 - Biaya parkir 3x";"0.00";"13000.00";"231.11.111";"Biaya yang masih harus dibayar"
"35";"2020-01-01";"624.11.121";"Perlengk.bangunan sma";"009/009/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pemisahan jalur papan timer & roda untuk ring GOR mekar; menggunakkan uang sewa GOR ( saklar, klem, paku, roda )";"0.00";"444000.00";"231.11.111";"Biaya yang masih harus dibayar"
"36";"2020-01-01";"621.11.121";"Perlengk.bang tk ciateul";"009/010/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pembuatan rak helm lorong parkir & tong sampah beban TK Ciateul ( besi & tong sampah )";"0.00";"265000.00";"231.11.111";"Biaya yang masih harus dibayar"
"37";"2020-01-01";"622.11.121";"perlengk.bang sd ciateul";"009/011/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pembuatan rak helm lorong parkir & tong sampah beban SD Ciateul ( besi & tong sampah )";"0.00";"265000.00";"231.11.111";"Biaya yang masih harus dibayar"
"38";"2020-01-01";"622.12.120";"perlengk.sklh sd koper (kbm)";"009/012/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Biaya pembuatan pigura untuk SD Koper ( amplas, kaca, mata gergaji, upah pa Iyus, dll )";"0.00";"1671803.00";"231.11.111";"Biaya yang masih harus dibayar"
"39";"2020-01-01";"622.13.120";"Perlengk.sklh (kbm) sd tki";"009/013/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pembuatan lemari serbaguna SD TKI ( teak block, kunci, lem, dll )";"0.00";"563500.00";"231.11.111";"Biaya yang masih harus dibayar"
"40";"2020-01-01";"623.11.121";"Perlengk. bang. smp mekar wangi";"009/014/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pembuatan rel gorden kelas beban SMP mekar ( rel gorden )";"0.00";"42500.00";"231.11.111";"Biaya yang masih harus dibayar"
"41";"2020-01-01";"624.11.121";"Perlengk.bangunan sma";"009/015/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Pembuatan rel gorden kelas beban SMA mekar ( rel gorden )";"0.00";"107500.00";"231.11.111";"Biaya yang masih harus dibayar"
"42";"2020-01-01";"625.11.116";"Sumbangan umum";"009/016/ADJ-01/20";"Akrual biaya Dec 2019 - KB04162 - Uang kedukaan atas meninggalnya ibunda dari Bp Willy Nursyamsi";"0.00";"1000000.00";"231.11.111";"Biaya yang masih harus dibayar"
"43";"2020-01-01";"713.13.111";"Biaya pemel. bangunan tk tki";"009/017/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Biaya pembuatan pigura, penebangan pohon & perbaikan atap beban TK TKI ( cat, amplas, kaca, mata gergaji, upah pa Iyus, dll )";"0.00";"570656.00";"231.11.111";"Biaya yang masih harus dibayar"
"44";"2020-01-01";"713.15.112";"Biaya pemel. bangunan sd tki";"009/018/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Biaya pembuatan pigura, penebangan pohon & perbaikan atap beban SD TKI ( cat, amplas, kaca, mata gergaji, upah pa Iyus, dll )";"0.00";"696041.00";"231.11.111";"Biaya yang masih harus dibayar"
"45";"2020-01-01";"713.16.111";"Biaya pemel. bangunan  smp mekar wangi";"009/019/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Biaya pembuangan air septi tank & pembuatan lemari perpustakaan beban SMP Mekar ( pompa, vsock, teakblock, pinogard, dll )";"0.00";"510500.00";"231.11.111";"Biaya yang masih harus dibayar"
"46";"2020-01-01";"713.18.111";"Biaya pemel. bangunan sma";"009/020/ADJ-01/20";"Akrual biaya Dec 2019 - KB04161 - Biaya service AC aula, R. kelas, R. Kepsek & pembuatan lemari perpustakaan beban SMA Mekar ( pompa, vsock, teakblock, pinogard, dll )";"0.00";"615500.00";"231.11.111";"Biaya yang masih harus dibayar"
"47";"2020-01-01";"625.11.116";"Sumbangan umum";"009/021/ADJ-01/20";"Akrual biaya Dec 2019 - KB04163 - Uang kedukaan atas meninggalnya ayah mertua dari ibu Livi Yani ( GT SMP Koper )";"0.00";"300000.00";"231.11.111";"Biaya yang masih harus dibayar"
"48";"2020-01-01";"681.19.111";"Kebaktian/rapat/seminar umum";"009/022/ADJ-01/20";"Akrual biaya Dec 2019 - KB04164 - Persekutuan karyawan ( 06/01/20 )";"0.00";"2300000.00";"231.11.111";"Biaya yang masih harus dibayar"
"49";"2020-01-01";"623.12.120";"Perleng. sklh smp koper";"009/023/ADJ-01/20";"Akrual biaya Dec 2019 - KB04165 - Pembuatan lemari osis & meja sound system SMP Koper";"0.00";"1340000.00";"231.11.111";"Biaya yang masih harus dibayar"
"50";"2020-01-01";"625.11.116";"Sumbangan umum";"009/024/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - Banner kedukaan atas meninggalnya ibunda dari Bp Willy Nursyamsi";"0.00";"160000.00";"231.11.111";"Biaya yang masih harus dibayar"
"51";"2020-01-01";"625.11.117";"Alat tulis kantor umum";"009/025/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - 1bh tinta epson cyan untuk ruang HRD & litbang";"0.00";"80000.00";"231.11.111";"Biaya yang masih harus dibayar"
"52";"2020-01-01";"625.11.121";"Perlengkapan bangunan umum";"009/026/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - 2bh baterai";"0.00";"20000.00";"231.11.111";"Biaya yang masih harus dibayar"
"53";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/027/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - 1,96 L pertalite Revo D 4849 ZZ";"0.00";"15000.00";"231.11.111";"Biaya yang masih harus dibayar"
"54";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/028/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - 26,14 L pertalite Grandmax D 1297 QD";"0.00";"200000.00";"231.11.111";"Biaya yang masih harus dibayar"
"55";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/029/ADJ-01/20";"Akrual biaya Dec 2019 - KB04166 - 2,61 L pertalite Revo D 4849 ZZ";"0.00";"20000.00";"231.11.111";"Biaya yang masih harus dibayar"
"56";"2020-01-01";"625.11.112";"Air,gas,konsums umum";"009/030/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 1/4 kg kopi aroma + parkir";"0.00";"32000.00";"231.11.111";"Biaya yang masih harus dibayar"
"57";"2020-01-01";"625.11.117";"Alat tulis kantor umum";"009/031/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 1bh tinta epson black untuk sekertariat";"0.00";"80000.00";"231.11.111";"Biaya yang masih harus dibayar"
"58";"2020-01-01";"713.19.111";"Biaya pemel. bangunan umum";"009/032/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 1bh pelampung untuk toilet depan ruang dirpel";"0.00";"80000.00";"231.11.111";"Biaya yang masih harus dibayar"
"59";"2020-01-01";"831.19.111";"Biaya telepon umum";"009/033/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - Biaya internet yayasan bulan Desember 2019";"0.00";"415300.00";"231.11.111";"Biaya yang masih harus dibayar"
"60";"2020-01-01";"851.15.111";"Perjln dinas sd koper";"009/034/ADJ-01/20";"Akrual biaya Dec 2019 - KB04167 - Tiket Ibu Agustiati Handayani ( pp ) Rp. 289.000, Uang perjalanan dinas 4 hari @ Rp. 75.000 dalam pelatihan Tim Kurikulum i-learning SD ; beban SD Koper ( 3-6 /01/20 )";"0.00";"196500.00";"231.11.111";"Biaya yang masih harus dibayar"
"61";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/035/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 1,96 L pertalite Suprafit D 2591 DB";"0.00";"15000.00";"231.11.111";"Biaya yang masih harus dibayar"
"62";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/036/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 19,6 L dexlite ELF D 7244 AP";"0.00";"200000.00";"231.11.111";"Biaya yang masih harus dibayar"
"63";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/037/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 1,96 L pertalite Suprafit D 2591 DB";"0.00";"15000.00";"231.11.111";"Biaya yang masih harus dibayar"
"64";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/038/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 24,27 L dexlite L300 D 7330 AN";"0.00";"247600.00";"231.11.111";"Biaya yang masih harus dibayar"
"65";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/039/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - Biaya tol & parkir Desember 2019 - Marno";"0.00";"310000.00";"231.11.111";"Biaya yang masih harus dibayar"
"66";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/040/ADJ-01/20";"Akrual biaya Dec 2019 - KB04168 - 2,61 L pertalite Revo D 4849 ZZ";"0.00";"20000.00";"231.11.111";"Biaya yang masih harus dibayar"
"67";"2020-01-01";"871.17.111";"Biaya listrik smp koper";"009/041/ADJ-01/20";"Akrual biaya Dec 2019 - KB04167 - Tagihan susulan listrik SMP Koper 535515028506 an BI YKKI Cab Bandung";"0.00";"5687600.00";"231.11.111";"Biaya yang masih harus dibayar"
"68";"2020-01-01";"626.18.111";"Biaya adm sma";"009/042/ADJ-01/20";"Akrual biaya Dec 2019 - KB04170 - Honor piket ekskul SMA Desember an pa Heri K";"0.00";"100000.00";"231.11.111";"Biaya yang masih harus dibayar"
"69";"2020-01-01";"623.11.111";"Iuran, sampah & dinas smp mekar wangi";"009/043/ADJ-01/20";"Akrual biaya Dec 2019 - KB04169 - Iuran Keamanan & Kebersihan Bulan Desember 2019 ( Beban SMP 40% )";"0.00";"400000.00";"231.11.111";"Biaya yang masih harus dibayar"
"70";"2020-01-01";"624.11.111";"Iuran,sampah & dinas sma";"009/044/ADJ-01/20";"Akrual biaya Dec 2019 - KB04169 - Iuran Keamanan & Kebersihan Bulan Desember 2019 ( Beban SMA 60% )";"0.00";"600000.00";"231.11.111";"Biaya yang masih harus dibayar"
"71";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/045/ADJ-01/20";"Akrual biaya Dec 2019 - KB04169 - 26,14 L pertalite APV D 8457 EE";"0.00";"200000.00";"231.11.111";"Biaya yang masih harus dibayar"
"72";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/046/ADJ-01/20";"Akrual biaya Dec 2019 - KB04169 - 2,61 L pertalite Revo D 4849 ZZ";"0.00";"20000.00";"231.11.111";"Biaya yang masih harus dibayar"
"73";"2020-01-01";"851.19.111";"Perjln dinas umum";"009/047/ADJ-01/20";"Akrual biaya Dec 2019 - KB04169 - 26,14 L pertalite Grandmax D 1297 QD";"0.00";"200000.00";"231.11.111";"Biaya yang masih harus dibayar"
"74";"2020-01-01";"831.13.111";"Biaya telepon tki";"009/048/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan Telp TK TKI ( 022 ) 5426399 a/n Onaryo Suhandi periode Desember 2019";"0.00";"83900.00";"231.11.111";"Biaya yang masih harus dibayar"
"75";"2020-01-01";"831.15.112";"Biaya telepon sd tki";"009/049/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan Telp SD TKI ( 022 ) 5426399 a/n Onaryo Suhandi periode Desember 2019";"0.00";"83900.00";"231.11.111";"Biaya yang masih harus dibayar"
"76";"2020-01-01";"871.12.111";"Biaya listrik tk koper";"009/050/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik TK Koper 535753209354 an Yayasan Kalam Kudus periode Desember 2019";"0.00";"2849200.00";"231.11.111";"Biaya yang masih harus dibayar"
"77";"2020-01-01";"871.13.111";"Biaya listrik tk tki";"009/051/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik TK TKI 535754579993 an Onaryo Suhandi periode Desember 2019";"0.00";"272850.00";"231.11.111";"Biaya yang masih harus dibayar"
"78";"2020-01-01";"871.13.111";"Biaya listrik tk tki";"009/052/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik TK TKI 535753728533 an Hadi Biantoro periode Desember 2019";"0.00";"291600.00";"231.11.111";"Biaya yang masih harus dibayar"
"79";"2020-01-01";"871.13.111";"Biaya listrik tk tki";"009/053/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik TK TKI 535753729463 an Gin Tjin Pak periode Desember 2019";"0.00";"114500.00";"231.11.111";"Biaya yang masih harus dibayar"
"80";"2020-01-01";"871.13.111";"Biaya listrik tk tki";"009/054/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik TK TKI 535753729471 an Dede Hendriawan periode Desember 2019";"0.00";"183550.00";"231.11.111";"Biaya yang masih harus dibayar"
"81";"2020-01-01";"871.15.112";"Biaya listrik sd tki";"009/055/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik SD TKI 535754579993 an Onaryo Suhandi periode Desember 2019";"0.00";"272850.00";"231.11.111";"Biaya yang masih harus dibayar"
"82";"2020-01-01";"871.15.112";"Biaya listrik sd tki";"009/056/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik SD TKI 535753728533 an Hadi Biantoro periode Desember 2019";"0.00";"291600.00";"231.11.111";"Biaya yang masih harus dibayar"
"83";"2020-01-01";"871.15.112";"Biaya listrik sd tki";"009/009/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik SD TKI 535753729463 an Gin Tjin Pak periode Desember 2019";"0.00";"114500.00";"231.11.111";"Biaya yang masih harus dibayar"
"84";"2020-01-01";"871.15.112";"Biaya listrik sd tki";"009/058/ADJ-01/20";"Akrual biaya Dec 2019 - KB04171 - Tagihan listrik SD TKI 535753729471 an Dede Hendriawan periode Desember 2019";"0.00";"183550.00";"231.11.111";"Biaya yang masih harus dibayar"
"85";"2020-01-01";"851.14.111";"Perjln dinas sd ciateul";"009/059/ADJ-01/20";"Akrual biaya Dec 2019 - KB04167 - Tiket Ibu Agustiati Handayani ( pp ) Rp. 289.000, Uang perjalanan dinas 4 hari @ Rp. 75.000 dalam pelatihan Tim Kurikulum i-learning SD ; beban SD Ciateul ( 3-6 /01/20 )";"0.00";"196500.00";"231.11.111";"Biaya yang masih harus dibayar"
"86";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/060/ADJ-01/20";"Akrual biaya Dec 2019 - KA22581 - 100 pcs snack pola monde kentang u/konsumsi bingkisan natal (tokopedia";"0.00";"354500.00";"231.11.111";"Biaya yang masih harus dibayar"
"87";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/061/ADJ-01/20";"Akrual biaya Dec 2019 - KA22581 - 1 lbr kertas karton u/acara natal";"0.00";"5000.00";"231.11.111";"Biaya yang masih harus dibayar"
"88";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/062/ADJ-01/20";"Akrual biaya Dec 2019 - KA22581 - 60 pcs donat u/konsumsi latihan natal ( 334.000 pakai uang BOP, sisanya kas natal )";"0.00";"111500.00";"231.11.111";"Biaya yang masih harus dibayar"
"89";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/063/ADJ-01/20";"Akrual biaya Dec 2019 - KA22582 - Parkir di 3 tempat (Cibadak, merauke, suniaraja)";"0.00";"6000.00";"231.11.111";"Biaya yang masih harus dibayar"
"90";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/064/ADJ-01/20";"Akrual biaya Dec 2019 - KA22582 - 4 set piala u/pemenang lomba natal";"0.00";"320000.00";"231.11.111";"Biaya yang masih harus dibayar"
"91";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/065/ADJ-01/20";"Akrual biaya Dec 2019 - KA22582 - Bingkisan u/pemusik natal (tokopedia)";"0.00";"253500.00";"231.11.111";"Biaya yang masih harus dibayar"
"92";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/066/ADJ-01/20";"Akrual biaya Dec 2019 - KA22582 - 2 klg pilox u/dekorasi natal";"0.00";"54000.00";"231.11.111";"Biaya yang masih harus dibayar"
"93";"2020-01-01";"621.12.121";"Perleng. bangunan tk koper";"009/067/ADJ-01/20";"Akrual biaya Dec 2019 - KK22321 - 15 box mini cup paper @17.500";"0.00";"262500.00";"231.11.111";"Biaya yang masih harus dibayar"
"94";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/068/ADJ-01/20";"Akrual biaya Dec 2019 - KA22583 - 150 pcs cetakan kue bintang u/konsumsi (shoppee)";"0.00";"80000.00";"231.11.111";"Biaya yang masih harus dibayar"
"95";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/069/ADJ-01/20";"Akrual biaya Dec 2019 - KA22583 - Honey star, susu dancow, coklat bubuk, gula, agar2 u/konsumsi natal + parkir 6000";"0.00";"611800.00";"231.11.111";"Biaya yang masih harus dibayar"
"96";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/070/ADJ-01/20";"Akrual biaya Dec 2019 - KA22583 - 1 klg pilox u/dekorasi Natal";"0.00";"27000.00";"231.11.111";"Biaya yang masih harus dibayar"
"97";"2020-01-01";"621.12.121";"Perleng. bangunan tk koper";"009/071/ADJ-01/20";"Akrual biaya Dec 2019 - KK22321 - 1 pc dayung kayu u/masak di dapur";"0.00";"30000.00";"231.11.111";"Biaya yang masih harus dibayar"
"98";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/072/ADJ-01/20";"Akrual biaya Dec 2019 - KA22584 - 2x parkir di Griya u/belanja konsumsi Natal @2.000";"0.00";"4000.00";"231.11.111";"Biaya yang masih harus dibayar"
"99";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/073/ADJ-01/20";"Akrual biaya Dec 2019 - KA22584 - 12 bgks nutrijell u/konsumsi natal";"0.00";"62400.00";"231.11.111";"Biaya yang masih harus dibayar"
"100";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/074/ADJ-01/20";"Akrual biaya Dec 2019 - KA22584 - 1,544 kg telur ayam u/konsumsi Natal";"0.00";"38800.00";"231.11.111";"Biaya yang masih harus dibayar"
"101";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/075/ADJ-01/20";"Akrual biaya Dec 2019 - KA22584 - 150 pcs nastar bintang u/konsumsi natal";"0.00";"450000.00";"231.11.111";"Biaya yang masih harus dibayar"
"102";"2020-01-01";"626.12.111";"Biaya adm tk koper";"009/076/ADJ-01/20";"Akrual biaya Dec 2019 - KA22584 - 30 cakue, 5 bgks bwg grg, ayam jantan, fillet dada, bwg putih u/konsumsi natal";"0.00";"413000.00";"231.11.111";"Biaya yang masih harus dibayar"
